"%name% '%value%' is too long. It must has length %min% symbols.","%Name% '%Wert%' ist zu lang. Es muss eine Länge von %min% Zeichen haben."
"%name% '%value%' is too short. It must has length %min% symbols.","%Name% '%Wert%' ist zu kurz. Es muss eine Länge von %min% Zeichen haben."
"* Required Fields","* Notwendige Felder"
"Confirm token authorization for admin","Bestätigen Sie die gewählte Autorisierung für Admin"
"Confirmation Of Authorization","Bestätigung der Autorisierung"
"Consumer Information","Verbraucherinformation"
"Consumer Name","Verbrauchername"
"Consumers","Verbraucher"
"Created At","Erstellte At"
"Customer","Kunde"
"Customer My Account My OAuth Applications","Kundenanwendungen Mein Konto Meine OAuth"
"Delete","Löschen"
"Disable","Deaktivieren"
"Disabled","Deaktiviert"
"Edit","Bearbeiten"
"Edit Consumer","Verbraucher bearbeiten"
"Email","E-Mail"
"Email Address","E-Mail-Adresse"
"Enable","Aktivieren"
"Enabled","Aktiviert"
"Entry with ID #%s not found.","Eintrag mit ID #%s nicht gefunden."
"Expiration Period","Ablaufzeitraum"
"Give the verifier code to application administrator","Geben Sie den Prüfer-Code zum Anwendungsadministrator an"
"ID","ID"
"Invalid Callback URL","Ungültige Rückruf-URL"
"Invalid ID parameter.","Ungültige ID-Parameter."
"Invalid Rejected Callback URL","Ungültige abgelehnte Rückruf-URL"
"Invalid entry ID.","Ungültige Eintrag-ID"
"Invalid revoke status.","Ungültiger Widerruf-Status."
"Key","Schlüssel"
"Log In","Login"
"Log in as a customer","Einloggen als Verbraucher"
"Log in as admin","Einloggen als Admin"
"Log in as customer","Einloggen als Kunde"
"Log in to use <strong>%s</strong>","Loggen Sie sich ein, um <strong>%s</strong> zu verwenden"
"Login","Login"
"My Applications","Meine Applikationen"
"Name","Name"
"New Consumer","Neuer Verbraucher"
"OAuth","OAuth"
"OAuth Admin My Apps","OAuth Admin Meine Apps"
"OAuth Authorized Tokens","OAuth autorisierte Zeichen"
"OAuth Consumers","OAuth Verbraucher"
"OAuth authorization Pop Up for customer","OAuth Autorisierungs-Popup für Kunden"
"OAuth authorization for admin","OAuth Autorisierung für Admin"
"OAuth authorization for customer","OAuth Autorisierung für Kunden"
"OAuth authorization simple for admin","OAuth Autorisierung einfach für Admin"
"Password","Passwort"
"Permissions","Rechte"
"Please login to proceed authorization.","Bitte loggen Sie ein, um mit der Autorisierung fortzufahren."
"Please select needed row(s).","Bitte wählen Sie die benötigte(n) Zeile(n)."
"Please select revoke status.","Bitte wählen Sie Status widerrufen."
"REST - My Apps","REST - Meine Apps"
"REST - OAuth Authorized Tokens","REST - autorisierte OAuth Zeichen"
"REST - OAuth Consumers","REST - OAuth-Verbraucher"
"Reject","Verwerfen"
"Reject OAuth token authorization","OAuth Zeichen-Autorisierung ablehnen"
"Reject authorization","Autorisierung ablehnen"
"Reject token authorization Pop Up for admin","Ablehnen des gewählten Popups der Autorisierung für Admin"
"Reject token authorization for admin","Ablehnen der gewählten Autorisierung für Admin"
"Rejected Callback URL","Abgelehnte Rückruf-URL"
"Rejection Of Authorization","Ablehnung der Autorisierung"
"Revoked","Widerrufen"
"Role Name","Rollenname"
"Save","Speichern"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Secret","Geheim"
"Selected entries enabled.","Ausgewählte Einträge aktiviert."
"Selected entries has been deleted.","Ausgewählte Einträge wurden entfernt."
"Selected entries revoked.","Ausgewählte Einträge widerrufen."
"Status","Status"
"System","System"
"The application access request is rejected.","Die Anwendung Zugangsanforderung wird zurückgewiesen."
"The consumer has been deleted.","Der Verbraucher wurde entfernt."
"The consumer has been saved.","Der Verbraucher wurde gespeichert."
"Token Status Change","Statusänderung des Zeichens"
"Token Status Change Email Template","E-Mail-Template Statusänderung des Zeichens"
"Unable to find a consumer.","Es kann kein Verbraucher gefunden werden."
"User ID","Benutzerkennung"
"User Name","Benutzername"
"User Type","Benutzertyp"
"Verifier code: %s","Prüfer-Code: %s"
"You have no applications.","Sie haben keine Anwendungen."
"deleted","gelöscht"
"enabled","aktiviert"
"revoked","widerrufen"
