"%s file does not exists or is not readable","El archivo %s no existe o no es legible"
"-- Please Select --","-- Por favor seleccione --"
"Replace Existing Complex Data","Reemplazar Datos Complejos Existentes"
"Select File to Import","Seleccione Archivo para Importar"
"Skip","Omitir"
"Source file moving failed","Fallo al mover el archivo de origen"
"Source file path must be a string","La ruta del archivo de origen debe ser una cadena"
"Source is not set","No se ha definido el origen"
"Status","Progreso"
"There are no product types available for export","No hay tipos de productos disponibles para la exportación"
"There is no data for export","No hay datos para exportar."
"To","A"
"Total size of uploadable files must not exceed %s","El tamaño total de los archivos a cargar no puede exceder %s"
"Unknown attribute filter type","Tipo de filtro de atributo desconocido"
"Uploaded file has no extension","El archivo cargado no tiene extensión"
"Validation finished successfully","La validación ha acabado correctamente."
"in rows","en filas"
"in rows:","en filas:"
