"%s file does not exists or is not readable","O arquivo % não existe ou não é legível"
"-- Please Select --","- Por Favor Selecione -"
"Export","Exportar"
"Export File Format","Exportar Formato de Arquivo"
"Export Settings","Exportar configurações"
"Export has been done.","A exportação foi feita"
"Exported %s rows.","Linhas %s exportadas."
"File does not contain data.","O arquivo não contém dados"
"File does not contain data. Please upload another one","Arquivo não contém dados. Por favor envie outro"
"File format is unknown","Formato de arquivo é desconhecido"
"File is partially valid, but import is not possible","Arquivo é parcialmente válido, mas a importação não é possível"
"File is totally invalid. Please fix errors and re-upload file","Arquivo é totalmente inválido. Por favor corrija os erros e recarregue arquivos"
"File is valid! To start import process press ""Import"" button","Arquivo é válido! Para iniciar o processo de importação carregue no botão ""Importar"""
"File is valid, but import is not possible","Arquivo é válido, mas a importação não é possível"
"File was not uploaded","Não foi feito o upload do arquivo"
"Filter","Filtro"
"From","De"
"Header column names already set","Nomes das colunas de cabeçalho já estão definidos"
"Import","Importar"
"Import Behavior","Comportamento da importação"
"Import Settings","Importar configurações"
"Import has been done successfuly.","A importação foi feita com sucesso."
"Import successfully done.","Importação feita com sucesso."
"Import/Export","Importação/Exportação"
"Input entity code is not equal to entity adapter code","Código de entrada da entidade não é igual ao código de adaptador da entidade"
"Invalid entity","Entidade inválida"
"Invalid entity model","Modelo de entidade inválido"
"Invalid file format","Formato de arquivo inválido"
"Invalid parameters","Parâmetros inválidos"
"Invalid seek position","Posição inválida de busca"
"Invalid value for '%s'","Valor inválido para ""%s"""
"Invalid value for '%s' column","Valor inválido para a coluna '%s'"
"No filter data provided","Dados fornecidos não filtrados"
"No source specified","Nenhuma fonte especificada"
"No valid data sent","Não há dados válidos de envio"
"No writer specified","Nenhum escritor especificado"
"Node does not has model token tag","Nó não tem modelo de marca simbólico"
"Not implemented yet","Ainda não implementado"
"Please fix errors and re-upload file","Corrija os erros e carregue novamente o arquivo"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Corrija os erros e carregue novamente o arquivo, ou simplesmente pressione o botão ""Importar"" para pular as linhas com erros"
"Products","Produtos"
"Replace Existing Complex Data","Substituir dados complexos existentes"
"Select File to Import","Escolher Arquivo para Importar"
"Skip","Pular"
"Source file moving failed","Falha na movimentação do arquivo fonte"
"Source file path must be a string","O caminho do arquivo fonte deve ser uma sequência de caracteres"
"Source is not set","A fonte não está definida"
"Status","Status"
"There are no product types available for export","Não há tipos de produto disponíveis para exportação"
"There is no data for export","Não há dados para exportar."
"To","Para"
"Total size of uploadable files must not exceed %s","O tamanho total dos arquivos a serem carregados não deve exceder %s"
"Unknown attribute filter type","Tipo de filtro para atributo desconhecido"
"Uploaded file has no extension","O arquivo carregado não possui extensão"
"Validation finished successfully","Validação finalizada com sucesso"
"in rows","em linhas"
"in rows:","em linhas:"
