"%s","%s"
"%s role is a special one and can\'t be changed.","O papel % é especial e não pode ser alterado."
"%s role is a special one and can\'t be deleted.","O papel % é especial e não pode ser apagado."
"%s role is protected.","O papel % é protegido."
"ACL Attribute Rules","Regras de Atributo ACL"
"The attribute rules were saved.","As regras para atributos foram salvas."
"The role has been saved.","O papel foi salvo."
"The role is a special one and not for assigning it to admin users.","Este papel é especial e não é para ser designado para usuários administradores."
"Total Due","Total Devido"
"Total Paid","Total Pago"
"Total Refunded","Total Reembolsado"
"Total Reviews Count","Contagem total de avaliações"
"Type","Tipo"
"URL","URL"
"Update","Atualizar"
"Use Config Settings for Allow Gift Message","Use as configurações para permitir mensagem de presente"
"Use Config Settings for Allow Gift Wrapping","Use as configurações para permitir embrulhos para presente"
"Use Config Settings for Backorders","Use as configurações para pedidos não atendidos"
"Use Config Settings for Enable Qty Increments","Use as configurações para ativar aumentos de QTD"
"Use Config Settings for Manage Stock","Use as configurações para gerenciar o estoque"
"Use Config Settings for Maximum Qty Allowed in Shopping Cart","Use as configurações para QTD máxima permitida no carrinho de compras"
"Use Config Settings for Minimum Qty Allowed in Shopping Cart","Use as configurações para QTD mínima permitida no carrinho de compras"
"Use Config Settings for Notify for Quantity Below","Use as configurações para notificar para quantidade abaixo"
"Use Config Settings for Qty Increments","Use as configurações para incrementos de QTD"
"Use Config Settings for Qty for Item's Status to Become Out of Stock","Use as configurações para QTD para status de itens que estão para sair de estoque"
"User Type","Tipo de usuário"
"User type ""%s"" no longer exists","Tipo de usuário ""%s"" não existe mais"
"User type ""%s"" not found.","Tipo de usuário ""%s"" não encontrado."
"Web Services","Serviços Web"
"Web services","Serviços Web"
"Write","Escrever"
"ZIP/Postal Code","CEP/Código Postal"
